1621.171	11381
1623.598	11010
1626.025	11096
1628.451	11039
1630.876	10912
1633.301	10743
1635.724	10791
1638.148	10779
1640.570	10825
1642.991	10685
1645.412	10661
1647.832	10687
1650.252	10621
1652.671	10599
1655.089	10512
1657.506	10560
1659.922	10374
1662.338	10357
1664.753	10293
1667.168	10342
1669.581	10132
1671.994	10055
1674.406	10022
1676.818	9850
1679.229	9899
1681.639	9798
1684.048	9756
1686.457	9619
1688.865	9610
1691.272	9582
1693.678	9589
1696.084	9540
1698.489	9523
1700.893	9566
1703.297	9467
1705.700	9645
1708.102	9433
1710.503	9466
1712.904	9316
1715.304	9371
1717.703	9101
1720.102	9207
1722.500	9201
1724.897	9245
1727.294	9231
1729.689	9165
1732.084	9199
1734.479	9112
1736.872	9062
1739.265	9064
1741.657	8957
1744.049	9000
1746.439	8958
1748.829	9081
1751.219	8984
1753.607	9113
1755.995	9145
1758.383	9058
1760.769	9064
1763.155	9078
1765.540	9218
1767.924	9255
1770.308	9174
1772.691	9353
1775.073	9344
1777.455	9347
1779.835	9282
1782.216	9225
1784.595	9282
1786.974	9332
1789.352	9330
1791.729	9310
1794.106	9386
1796.482	9208
1798.857	9347
1801.231	9386
1803.605	9268
1805.978	9213
1808.350	9246
1810.722	9292
1813.093	9226
1815.463	9180
1817.833	9194
1820.202	9190
1822.570	9247
1824.937	9242
1827.304	9289
1829.670	9216
1832.036	9155
1834.400	9380
1836.764	9140
1839.128	9309
1841.490	9293
1843.852	9258
1846.213	9256
1848.574	9288
1850.933	9324
1853.293	9327
1855.651	9369
1858.009	9323
1860.366	9469
1862.722	9518
1865.078	9513
1867.432	9601
1869.787	9553
1872.140	9647
1874.493	9693
1876.845	9654
1879.197	9817
1881.547	9773
1883.897	9878
1886.247	9965
1888.595	10034
1890.943	9994
1893.291	9979
1895.637	9975
1897.983	9960
1900.328	9937
1902.673	9993
1905.017	9943
1907.360	9903
1909.702	9882
1912.044	9776
1914.385	9860
1916.726	9853
1919.065	9739
1921.404	9738
1923.743	9587
1926.080	9656
1928.417	9586
1930.754	9642
1933.089	9428
1935.424	9637
1937.758	9431
1940.092	9476
1942.425	9435
